dataset,model,strategy,sample_id,rank,question,topic,skill,target_evidence,top_negative_sample_id,top_negative_topic,top_negative_skill,top_negative_evidence
scienceqa,bm25,same_topic,r021145,2,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,physics,Identify how particle motion affects temperature and pressure,"hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles. lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the gr",r006108,physics,Identify how particle motion affects temperature and pressure,"hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles. lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the gr"
scienceqa,bm25,same_topic,r010989,2,Which solution has a higher concentration of purple particles?,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each purple ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. ",r014198,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,same_topic,r014530,2,Which continent is highlighted?,geography,Identify oceans and continents,lecture: A continent is one of the seven largest areas of land on earth. solution: This continent is Australia.,r003389,geography,Identify oceans and continents,lecture: A continent is one of the major land masses on the earth. Most people say there are seven continents. solution: This continent is Asia.
scienceqa,bm25,same_topic,r020673,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s",r014839,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s"
scienceqa,bm25,same_topic,r006368,2,Which solution has a higher concentration of yellow particles?,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each yellow ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. ",r014198,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,same_topic,r000973,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t",r015156,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,bm25,same_topic,r001925,3,Which country is highlighted?,geography,Identify and select countries of Oceania,solution: This country is Samoa.,r007672,geography,Identify and select countries of Oceania,"solution: This country is Australia. Is Australia a country or a continent? Both! Australia is a country in Oceania, a region made up of many lands and islands in the Pacific Ocean. Many people say that Australia is the world's smallest continent. But some people call Oceania a continent instead."
scienceqa,bm25,same_topic,r001189,3,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes and shapes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of t",r014839,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic force between two magnets, the more s"
scienceqa,bm25,same_topic,r000193,4,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_topic,r017614,2,Which solution has a higher concentration of blue particles?,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each blue ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th",r014198,chemistry,Compare concentrations of solutions,"hint: The diagram below is a model of two solutions. Each pink ball represents one particle of solute. lecture: A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. Th"
scienceqa,bm25,same_topic,r016895,2,Does this passage describe the weather or the climate?,earth-science,Weather and climate around the world,"hint: Figure: Smethport, Pennsylvania. Northwest Pennsylvania normally receives between two and five inches of precipitation each month of the year. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For e",r019165,earth-science,What's the difference between weather and climate?,"hint: Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day. Climate is the pattern of weather in a certain place. For examp"
scienceqa,bm25,same_topic,r007478,4,Does this passage describe the weather or the climate?,earth-science,Weather and climate around the world,"hint: Figure: Nassau. Nassau, a city in the Bahamas, has many tourists each winter. On Tuesday, it was too humid for some tourists. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the tempe",r019165,earth-science,What's the difference between weather and climate?,"hint: Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the temperature outside your house might get higher throughout the day. Climate is the pattern of weather in a certain place. For examp"
scienceqa,bm25,same_topic,r019198,5,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan",r015156,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,bm25,same_topic,r016559,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Indian Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,bm25,same_topic,r008483,2,Which country is highlighted?,geography,Identify and select countries of the Caribbean,solution: This country is Dominica.,r020236,geography,Identify and select countries of the Caribbean,"solution: This country is the Dominican Republic. Why does the Dominican Republic share its island with another country? The Dominican Republic and Haiti share the island of Hispaniola. It is home to the earliest European settlements in the Americas. Christopher Columbus founded the first European settlement on the island in 1492 during his first voyage across the Atlantic. Though many people lived on the island before Columbus's arrival, European countries quickly began to colonize the island. "
scienceqa,bm25,same_topic,r017606,2,"What kind of sentence is this?
Maureen felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.",punctuation,"Is the sentence declarative, interrogative, imperative, or exclamatory?","lecture: There are four kinds of sentences. A declarative sentence is a statement and always ends with a period. The nurse told Mr. Abrams to roll up his sleeve so that she could check his blood pressure. An imperative sentence makes a request or a demand and usually ends with a period. If a demand shows strong feeling, it can end with an exclamation point. For this assignment, use references to support your claims. Don't drive so quickly in the construction zone! An interrogative sentence asks ",r018123,punctuation,"Is the sentence declarative, interrogative, imperative, or exclamatory?","lecture: There are four kinds of sentences. A declarative sentence is a statement, and it always ends with a period. The nurse told Mr. Abrams to roll up his sleeve so that she could check his blood pressure. An interrogative sentence is a question, and it always ends with a question mark. Do you have any plans for the upcoming weekend? An imperative sentence is a command. It makes a request or tells someone to do something, and it usually ends with a period. If the command shows strong feeling,"
scienceqa,bm25,same_topic,r004583,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r000907,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Atlantic Ocean."
scienceqa,bm25,same_topic,r004612,2,What is the name of the colony shown?,us-history,Identify the Thirteen Colonies,solution: The colony is Virginia. The Virginia Colony included land that would later become part of the state of West Virginia. West Virginia was never its own colony.,r014943,us-history,Middle Colonies: founding and government,"hint: In the following questions, you will learn about the origins of the Middle Colonies. The Middle Colonies made up the middle part of the Thirteen Colonies, which were ruled by England in the 1600s and 1700s. The map below shows the Thirteen Colonies in 1750. Look at the map. Then answer the question below. solution: Look at the legend on the map. The rest of the Thirteen Colonies were part of New England or the Southern Colonies."
scienceqa,bm25,same_topic,r000236,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
tqa_ck12,tfidf,random,DQ_000002,2,How many steps are there to the formation of a stump?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000003,2,Which of these are most affected by a storm?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000004,2,"In a storm beach, what is exposed during the low tide?",erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000006,2,In which step does the cliff collapse?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000007,2,Which step is the cause of the erosion process shown?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000008,2,What happens before cliff retreats?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000009,2,What is located just below the wave-cut notch?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000010,2,What is the area of water where the river falls called?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000012,2,What collapses and creates a fall?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000013,2,Which label points to undercutting?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000014,2,What forms when a sea cave is eroded through completely?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000015,2,"In this diagram of Erosion and Deposition by Flowing Water, what is located just below the Headland?",erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000016,2,What material is deposited on the slip off slope?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000018,2,What is deposited on inside of bend?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000019,2,Why is flowing water important agent of corrosion?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000021,2,What causes the sediments to move downhill to another place?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000022,2,What rock formation causes rapids?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000023,2,Which is the name of the exact point where water falls in a waterfall?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000024,2,How many ridges of hard rock are shown in this picture?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000025,2,How are rapids created?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000026,2,Which of the bottom labels (numbered from left to right) points to low tide?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000027,2,How many phases of the tide are there?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000028,2,"In this diagram of Erosion and Deposition by Flowing Water, where does the water go through the blow hole?",erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000029,2,What is the first stage in the formation of waterfall?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000030,2,How many formations of a waterfall are there?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000031,2,What is shown in the picture?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000032,2,What is located in a plunge pool?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000033,2,What prominent feature develops when a waterfall retreats?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000034,2,What happens when stream flows from an area of harder to softer rock?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,random,DQ_000035,2,What is the part over the plunge pool called?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,bm25,random,NDQ_000049,2,Chemical oceanography is the study of the,earth science and its branches,Multiple Choice,lesson: earth science and its branches Answer the following multiple choice question from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,NDQ_000106,2,Which statement about stalactites is false?,erosion and deposition by flowing water,Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.,DQ_000001,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000019,2,Why is flowing water important agent of corrosion?,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,NDQ_000077,erosion and deposition by flowing water,True or False,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,bm25,random,NDQ_000115,2,Factors that determine the size of ocean waves include,erosion and deposition by waves,Multiple Choice,lesson: erosion and deposition by waves Answer the following multiple choice question from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,NDQ_000177,2,Glaciers presently cover about 40 percent of Earths surface.,erosion and deposition by glaciers,True or False,lesson: erosion and deposition by glaciers Answer the following multiple choice question from a science textbook.,DQ_000039,erosion and deposition by glaciers,Diagram Multiple Choice,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,NDQ_000197,2,A headwall is the,erosion and deposition by glaciers,Multiple Choice,lesson: erosion and deposition by glaciers Answer the following multiple choice question from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000039,2,Which structure marks the greatest distance the glacier advanced?,erosion and deposition by glaciers,Diagram Multiple Choice,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000042,2,The shape of which area could be caused by melting or an avalanche?,erosion and deposition by glaciers,Diagram Multiple Choice,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000066,2,What will form when the glacier melts?,erosion and deposition by glaciers,Diagram Multiple Choice,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000067,2,What stops the glacial ice from flowing through?,erosion and deposition by glaciers,Diagram Multiple Choice,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000068,2,What is located below the Headwall?,erosion and deposition by glaciers,Diagram Multiple Choice,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,NDQ_000243,2,Examples of imprint fossils made by compression are,fossils,Multiple Choice,lesson: fossils Answer the following multiple choice question from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,NDQ_000246,2,Fossilized insects have been found preserved in amber which is hardened,fossils,Multiple Choice,lesson: fossils Answer the following multiple choice question from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,NDQ_000248,3,Fossilized stomach contents may indicate,fossils,Multiple Choice,lesson: fossils Answer the following multiple choice question from a science textbook.,NDQ_000046,earth science and its branches,Multiple Choice,lesson: earth science and its branches Answer the following multiple choice question from a science textbook.
tqa_ck12,bm25,random,NDQ_000249,3,An animal is more likely to a fossil if it:,fossils,Multiple Choice,lesson: fossils Answer the following multiple choice question from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000072,2,Which of those is the older layer?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000074,2,The soft parts of organisms almost always decompose quickly after death. In which stage of fossil formation does this occur?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000100,relative ages of rocks,Diagram Multiple Choice,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,random,DQ_000076,2,What causes a fossil to be exposed?,fossils,Diagram Multiple Choice,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,DQ_000001,erosion and deposition by flowing water,Diagram Multiple Choice,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.
