dataset,model,sample_id,rank,question,target_evidence,top_evidence
tqa_ck12,tfidf,DQ_000024,2,How many ridges of hard rock are shown in this picture?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,tfidf,DQ_000025,2,How are rapids created?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,bm25,NDQ_000049,2,Chemical oceanography is the study of the,lesson: earth science and its branches Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000106,2,Which statement about stalactites is false?,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000019,2,Why is flowing water important agent of corrosion?,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question from a science textbook.
tqa_ck12,bm25,NDQ_000115,2,Factors that determine the size of ocean waves include,lesson: erosion and deposition by waves Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000177,2,Glaciers presently cover about 40 percent of Earths surface.,lesson: erosion and deposition by glaciers Answer the following multiple choice question from a science textbook.,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000197,2,A headwall is the,lesson: erosion and deposition by glaciers Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000039,2,Which structure marks the greatest distance the glacier advanced?,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000042,2,The shape of which area could be caused by melting or an avalanche?,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000066,2,What will form when the glacier melts?,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000067,2,What stops the glacial ice from flowing through?,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000068,2,What is located below the Headwall?,lesson: erosion and deposition by glaciers Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000243,2,Examples of imprint fossils made by compression are,lesson: fossils Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000246,2,Fossilized insects have been found preserved in amber which is hardened,lesson: fossils Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,NDQ_000248,3,Fossilized stomach contents may indicate,lesson: fossils Answer the following multiple choice question from a science textbook.,lesson: earth science and its branches Answer the following multiple choice question from a science textbook.
tqa_ck12,bm25,NDQ_000249,3,An animal is more likely to a fossil if it:,lesson: fossils Answer the following multiple choice question from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000072,2,Which of those is the older layer?,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000074,2,The soft parts of organisms almost always decompose quickly after death. In which stage of fossil formation does this occur?,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000076,2,What causes a fossil to be exposed?,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,lesson: erosion and deposition by flowing water Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000077,2,How many stages are there to the formation of a fossil?,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
tqa_ck12,bm25,DQ_000078,2,Identify which of the following does not happen to a fish.,lesson: fossils Answer the following multiple choice question about the diagram from a science textbook.,lesson: relative ages of rocks Answer the following multiple choice question about the diagram from a science textbook.
